Day,Month,Year,Delhi
11,September,2018,80.87
12,September,2018,80.87
13,September,2018,81
14,September,2018,81.28
15,September,2018,81.63
16,September,2018,81.91
17,September,2018,82.06
18,September,2018,82.16
19,September,2018,82.16
20,September,2018,82.22
21,September,2018,82.32
22,September,2018,82.44
23,September,2018,82.61
24,September,2018,82.72
25,September,2018,82.86
26,September,2018,82.86
27,September,2018,83
28,September,2018,83.22
29,September,2018,83.4
30,September,2018,83.49
1,October,2018,83.73
2,October,2018,83.85
3,October,2018,83.85
4,October,2018,84
5,October,2018,81.5
6,October,2018,81.68
7,October,2018,81.82
8,October,2018,82.03
9,October,2018,82.26
10,October,2018,82.26
11,October,2018,82.36
12,October,2018,82.48
13,October,2018,82.66
14,October,2018,82.72
15,October,2018,82.72
16,October,2018,82.83
17,October,2018,82.83
18,October,2018,82.62
19,October,2018,82.38
20,October,2018,81.99
21,October,2018,81.74
22,October,2018,81.44
23,October,2018,81.34
24,October,2018,81.25
25,October,2018,81.1
26,October,2018,80.85
27,October,2018,80.45
28,October,2018,80.05
29,October,2018,79.75
30,October,2018,79.55
31,October,2018,79.55
1,November,2018,79.37
2,November,2018,79.18
3,November,2018,78.99
4,November,2018,78.78
5,November,2018,78.56
6,November,2018,78.42
7,November,2018,78.42
8,November,2018,78.21
9,November,2018,78.06
10,November,2018,77.89
11,November,2018,77.73
12,November,2018,77.56
13,November,2018,77.43
14,November,2018,77.43
15,November,2018,77.28
16,November,2018,77.1
17,November,2018,76.91
18,November,2018,76.71
19,November,2018,76.52
20,November,2018,76.38
21,November,2018,76.38
22,November,2018,75.97
23,November,2018,75.57
24,November,2018,75.25
25,November,2018,74.84
26,November,2018,74.49
27,November,2018,74.07
28,November,2018,73.57
29,November,2018,73.24
30,November,2018,72.87
1,December,2018,72.53
2,December,2018,72.23
3,December,2018,71.93
4,December,2018,71.72
5,December,2018,71.72
6,December,2018,71.32
7,December,2018,70.92
8,December,2018,70.7
9,December,2018,70.55
10,December,2018,70.31
11,December,2018,70.2
12,December,2018,70.2
13,December,2018,70.29
14,December,2018,70.29
15,December,2018,70.34
16,December,2018,70.34
17,December,2018,70.53
18,December,2018,70.63
19,December,2018,70.63
20,December,2018,70.63
21,December,2018,70.46
22,December,2018,70.27
23,December,2018,70.07
24,December,2018,69.86
25,December,2018,69.79
26,December,2018,69.79
27,December,2018,69.74
28,December,2018,69.55
29,December,2018,69.26
30,December,2018,69.04
31,December,2018,68.84
1,January,2019,68.65
2,January,2019,68.65
3,January,2019,68.65
4,January,2019,68.44
5,January,2019,68.29
6,January,2019,68.29
7,January,2019,68.5
8,January,2019,68.5
9,January,2019,68.5
10,January,2019,68.88
11,January,2019,69.07
12,January,2019,69.26
13,January,2019,69.75
14,January,2019,70.13
15,January,2019,70.41
16,January,2019,70.33
17,January,2019,70.47
18,January,2019,70.55
19,January,2019,70.72
20,January,2019,70.95
21,January,2019,71.14
22,January,2019,71.27
23,January,2019,71.27
24,January,2019,71.27
25,January,2019,71.27
26,January,2019,71.27
27,January,2019,71.27
28,January,2019,71.27
29,January,2019,71.19
30,January,2019,71.19
31,January,2019,71.09
1,February,2019,70.94
2,February,2019,70.84
3,February,2019,70.74
4,February,2019,70.59
5,February,2019,70.44
6,February,2019,70.44
7,February,2019,70.44
8,February,2019,70.38
9,February,2019,70.28
10,February,2019,70.28
11,February,2019,70.33
12,February,2019,70.33
13,February,2019,70.33
14,February,2019,70.39
15,February,2019,70.46
16,February,2019,70.6
17,February,2019,70.76
18,February,2019,70.91
19,February,2019,71
20,February,2019,71
21,February,2019,71.15
22,February,2019,71.29
23,February,2019,71.35
24,February,2019,71.42
25,February,2019,71.57
26,February,2019,71.66
27,February,2019,71.66
28,February,2019,71.73
1,March,2019,71.81
2,March,2019,71.94
3,March,2019,72.07
4,March,2019,72.17
5,March,2019,72.24
6,March,2019,72.24
7,March,2019,72.24
8,March,2019,72.24
9,March,2019,72.31
10,March,2019,72.4
11,March,2019,72.46
12,March,2019,72.41
13,March,2019,72.41
14,March,2019,72.48
15,March,2019,72.55
16,March,2019,72.63
17,March,2019,72.71
18,March,2019,72.78
19,March,2019,72.78
20,March,2019,72.78
21,March,2019,72.71
22,March,2019,72.76
23,March,2019,72.81
24,March,2019,72.86
25,March,2019,72.86
26,March,2019,72.86
27,March,2019,72.86
28,March,2019,72.81
29,March,2019,72.81
30,March,2019,72.86
31,March,2019,72.86
1,April,2019,72.86
2,April,2019,72.86
3,April,2019,72.86
4,April,2019,72.86
5,April,2019,72.91
6,April,2019,72.91
7,April,2019,72.85
8,April,2019,72.85
9,April,2019,72.8
10,April,2019,72.8
11,April,2019,72.8
12,April,2019,72.86
13,April,2019,72.86
14,April,2019,72.92
15,April,2019,72.98
16,April,2019,72.93
17,April,2019,72.93
18,April,2019,72.93
19,April,2019,73
20,April,2019,73
21,April,2019,72.95
22,April,2019,72.95
23,April,2019,72.95
24,April,2019,72.95
25,April,2019,73.02
